j;Ptz;t;K;DA;DB;DC;DD;Y;Pt;Pe;Zg;Zw;PtA;PtB;PtC;PtD;PtS;E;PeA;PeB;PeC;PeD;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
1576.0;267.7;7.9;182.0;1.0;1.0;1.0;1.0;11455.046;267.7;220.7;301.718;2012.425;50.183;68.023;-0.0;149.07;-0.424;383.453;44.23;105.0;0.0;71.47;301.718;1097.454;0.0;914.971;0;0;12000;0
1577.0;293.4;7.4;182.0;1.0;1.0;1.0;1.0;14270.913;293.4;236.578;302.446;2175.483;50.298;64.763;0.0;177.915;-0.424;383.029;44.439;105.0;0.0;87.139;302.446;1094.652;0.0;1080.831;0;0;12000;0
1578.0;347.6;6.4;186.6;1.0;1.0;1.0;1.0;21443.146;347.6;253.67;303.902;2372.827;50.528;89.042;-0.0;208.606;0.576;383.605;44.859;105.0;0.0;103.811;303.902;1115.523;0.0;1257.304;0;0;12000;0
1579.0;428.0;5.5;225.1;1.0;1.0;1.0;1.0;53104.776;428.0;356.022;305.213;3505.241;50.735;0.001;166.219;219.993;8.948;392.553;45.24;120.0;80.786;109.996;305.213;1168.882;1013.578;1322.781;0;0;0;0
1580.0;452.0;4.9;227.6;1.0;1.0;1.0;1.0;57238.548;452.0;369.505;305.94;3645.706;50.85;0.001;190.649;219.992;9.492;402.045;45.453;120.0;94.056;109.996;305.94;1168.882;1154.051;1322.773;0;0;0;0
1581.0;459.0;4.4;192.9;1.0;1.0;1.0;1.0;45122.333;459.0;285.031;0.0;3342.792;0.0;94.526;147.636;218.784;1.946;403.991;0.0;105.0;70.691;109.339;0.0;1120.237;906.729;1315.826;0;0;0;0
1582.0;458.8;3.9;186.6;1.0;1.0;1.0;1.0;38339.302;458.8;268.908;0.0;3196.297;-0.0;122.636;143.144;193.597;0.576;404.568;0.0;105.0;68.251;95.657;0.0;1144.401;880.897;1171.0;5000;0;0;0
1583.0;444.5;3.4;184.6;1.0;1.0;1.0;1.0;40800.511;444.5;282.453;305.94;2852.658;50.85;115.791;139.0;139.0;0.141;404.709;45.453;105.0;66.0;66.0;305.94;1138.517;857.07;857.071;0;0;0;0
1584.0;418.2;2.9;173.2;1.0;1.0;1.0;1.0;34491.739;418.2;295.57;305.94;2946.002;50.85;62.866;139.0;163.146;-2.338;402.371;45.453;105.0;66.0;79.116;305.94;1093.021;857.07;995.911;0;0;0;0
1585.0;383.9;3.8;171.3;1.0;1.0;1.0;1.0;30407.918;383.9;282.453;305.94;2792.944;50.85;46.327;139.0;139.0;-8.723;393.648;45.453;105.0;66.0;66.0;305.94;1078.804;857.07;857.07;0;0;0;0
1586.0;384.7;2.5;170.1;1.0;1.0;1.0;1.0;30162.588;384.7;282.453;305.94;2793.443;50.85;46.908;139.0;139.0;-8.942;384.706;45.453;105.0;66.0;66.0;305.94;1079.303;857.07;857.07;0;0;0;0
1587.0;412.8;0.0;170.1;1.0;1.0;1.0;1.0;34982.233;412.8;260.261;305.94;2555.87;50.85;133.008;-0.0;220.0;-8.942;375.764;45.453;104.808;0.0;110.0;305.94;1233.05;0.0;1322.82;0;0;0;0
